Line Item Date,Item ID,Order ID,Item Name,Currency,Per Unit Quantity,Item Unit,Item Revenue,Modifiers,Modifiers Revenue,Total Revenue,Discounts,Total Discount,Total
26-Nov-2016 01:28 AM CST,0FD6EAXBXRA9G,P6CWAY8A97FME,Pastor Costra,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
26-Nov-2016 01:27 AM CST,W4DCH6N3BSWS6,566PRQYYDTZAC,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 01:27 AM CST,W4DCH6N3BSWS6,566PRQYYDTZAC,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 01:27 AM CST,0FD6EAXBXRA9G,566PRQYYDTZAC,Pastor Costra,USD,,,8.99,Mix with Chorizo (NG62CTDWP6P4C) $0.00,0.00,8.99,,,8.99
26-Nov-2016 01:25 AM CST,BSND3DA299JEP,VSZSTKW491TKA,Beef Faita Costra,USD,,,8.99,Mix with Pastor (DA0E0SGMCDPVP) $0.00,0.00,8.99,,,8.99
26-Nov-2016 01:25 AM CST,0FD6EAXBXRA9G,VSZSTKW491TKA,Pastor Costra,USD,,,8.99,"Mix with Fajita (0NCCGQVN7R41C) $0.00
Add Avocado (8YWPPNNN7FREG) $1.25",1.25,10.24,,,10.24
26-Nov-2016 01:23 AM CST,0FD6EAXBXRA9G,080T6Q3Q0EM8A,Pastor Costra,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
26-Nov-2016 01:21 AM CST,Q37CGAJFE3PXG,A8NVM2QKM7J04,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
26-Nov-2016 01:21 AM CST,K4HWNABF13GGT,A8NVM2QKM7J04,Fajita Quesadilla Single,USD,,,3.75,Flour (DF24ZWC6A43FA) $0.00,0.00,3.75,,,3.75
26-Nov-2016 01:21 AM CST,Q37CGAJFE3PXG,A8NVM2QKM7J04,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
26-Nov-2016 01:21 AM CST,3JMTA6EHD4P7C,A8NVM2QKM7J04,The Imposible Large,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
26-Nov-2016 01:06 AM CST,GG4VB4TPM5Q2Y,CNKWR4EXW7N06,Pastor Mini Corn,USD,,,1.79,,,1.79,Employee (40%) -$0.72,-.72,1.07
26-Nov-2016 01:06 AM CST,GG4VB4TPM5Q2Y,CNKWR4EXW7N06,Pastor Mini Corn,USD,,,1.79,,,1.79,Employee (40%) -$0.72,-.72,1.07
26-Nov-2016 01:06 AM CST,GG4VB4TPM5Q2Y,CNKWR4EXW7N06,Pastor Mini Corn,USD,,,1.79,,,1.79,Employee (40%) -$0.72,-.72,1.07
26-Nov-2016 01:00 AM CST,G6TBG8Z93T2AW,0D26896HAVK3A,Fajita Mini Flour (4),USD,,,7.99,,,7.99,,,7.99
26-Nov-2016 12:17 AM CST,RMBKVWPMA0FT8,PAS2PM8HH94DW,Mexican Mundete,USD,,,2.39,,,2.39,,,2.39
26-Nov-2016 12:17 AM CST,D81SYNJAJJD82,PAS2PM8HH94DW,Dr. Pepper Can,USD,,,1.74,,,1.74,,,1.74
26-Nov-2016 12:17 AM CST,PK3ZSD77AY2CR,PAS2PM8HH94DW,Gringa Large,USD,,,7.99,,,7.99,,,7.99
26-Nov-2016 12:17 AM CST,PK3ZSD77AY2CR,PAS2PM8HH94DW,Gringa Large,USD,,,7.99,,,7.99,,,7.99
25-Nov-2016 11:52 PM CST,2YB12G5M5BT8E,BA5DHETM1N41C,Pastor Mini Corn (5),USD,,,7.99,"Add Avocado (95NP8WH7Y3H5J) $1.25
Add Fresh Cheese (QVQ33SQJ4T0BM) $1.25",2.50,10.49,,,10.49
25-Nov-2016 11:52 PM CST,NW13SSEQ5M34G,BA5DHETM1N41C,Fajita Mini Corn (5),USD,,,7.99,"Add Fresh Cheese (QVQ33SQJ4T0BM) $1.25
Add Avocado (95NP8WH7Y3H5J) $1.25",2.50,10.49,,,10.49
